1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,34,3,4,5,6,7,8,9,18,21,12,13,14,15,16,17
26,34,19,20,28,6,30,31,32,10,21,22,33,25,15,16,24
1,34,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
26,2,19,4,5,6,30,31,9,10,11,22,13,14,15,16,17
26,2,19,20,28,29,30,31,32,18,11,22,33,25,15,16,24
1,2,19,20,28,6,30,31,32,10,11,22,33,25,15,16,24
26,2,3,4,5,6,7,8,9,10,11,22,13,14,15,16,17
26,2,19,20,28,29,30,31,32,10,21,22,13,25,15,16,24
26,2,19,20,28,29,30,31,9,10,11,22,33,25,15,16,24
26,2,19,20,28,29,30,31,32,18,11,22,33,25,15,16,24
26,2,19,4,5,6,30,31,9,10,11,22,13,14,15,16,17
1,2,19,20,5,6,30,31,9,18,21,22,13,25,27,16,24
1,34,19,20,28,6,30,31,32,18,21,22,33,25,27,16,24
1,2,19,20,28,6,30,31,32,18,21,22,33,14,27,16,24
1,2,19,20,28,6,30,31,32,10,21,22,13,14,27,16,24
1,34,19,20,28,29,30,31,9,10,21,22,33,25,27,16,24
26,34,19,20,28,29,30,31,32,10,11,22,33,25,27,16,24
1,34,3,4,5,6,30,31,9,10,11,12,13,14,15,16,17
1,2,19,20,28,29,30,31,32,10,11,22,13,25,27,16,24
26,34,19,20,5,29,30,31,32,10,11,12,33,14,27,16,24
1,34,19,4,5,6,7,8,32,10,11,12,13,14,15,16,17
1,34,19,20,28,29,30,31,32,10,11,22,33,25,15,16,24
1,2,3,4,5,6,7,8,9,18,21,12,13,14,15,16,17
1,34,3,4,5,6,30,31,32,10,11,12,13,14,15,16,17
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,23,17
